"model_id","term","estimate","standard_error","lower","upper","z_value","p_value","confidence_level"
"M_ENERGY","map_rcs1",-0.45390875444415,0.0631641413421017,-0.577708196589067,-0.330109312299233,-7.18617786610517,6.66302324606829e-13,0.95
"M_ENERGY","map_rcs2",0.0562509246269838,0.0567497826140063,-0.0549766054269459,0.167478454680914,0.991209517216734,0.321583284301567,0.95
"M_ENERGY","vasopressor",0.000598812956104743,0.0561692031368439,-0.109490802232424,0.110688428144633,0.0106608768268595,0.991494012099209,0.95
"M_ENERGY","platelet_rcs1",-0.926710002363469,0.107105342325646,-1.13663261587357,-0.71678738885337,-8.65232286495922,5.04616433141893e-18,0.95
"M_ENERGY","platelet_rcs2",0.00983531179126258,0.045635744945906,-0.0796091047103689,0.099279728292894,0.215517721972563,0.829363696552609,0.95
"M_ENERGY","creatinine_rcs1",2.41674026521043,0.135329840448544,2.15149865189774,2.68198187852313,17.8581475984918,2.49792686691061e-71,0.95
"M_ENERGY","creatinine_rcs2",1.02771711868405,0.0506997784345663,0.928347378928141,1.12708685843996,20.2706431944359,2.33584008195789e-91,0.95
"M_ENERGY","static_power",0.0390178078053197,0.00667906195226506,0.0259270869283684,0.052108528682271,5.84180953615615,5.16368244205619e-09,0.95
"M_ENERGY","dynamic_power",0.0844110806669863,0.0103321355512379,0.0641604671031741,0.104661694230798,8.16976125103904,3.0900034999843e-16,0.95
"M_ENERGY","resistive_power",0.0141302971231915,0.0076292087141441,-0.000822677187070036,0.0290832714334531,1.8521314139689,0.0640069545311105,0.95
